countryStr,compVote,simElec
AT,0,0
BE-F,1,1
BE-W,1,1
BG,0,0
CYP,0,0
CZ,0,0
DE,0,1
DK,0,1
EE,0,0
FI,0,0
FR,0,0
GRE,1,0
HU,0,0
IRE,0,1
IT,0,1
LAT,0,0
LIT,0,0
LUX,0,1
MT,0,1
NL,0,0
PL,0,0
PT,0,0
RO,0,0
SLO,0,0
SPA,0,0
SVK,0,0
SWE,0,0
UK,0,1
